"","PROLIFIC_PID","sex","ethnicity","race","age","agecats","caseid","rake_weights"
"1","5c7e91c1973c990016ea72b0","female","Not Hispanic or Latino","White",55,"age55_59",1,1.12399177686312
"2","5e753094e8a6f10a9805ed9a","female","Not Hispanic or Latino","White",64,"age60_100",2,2.48550036635387
"3","5e67052c757e6149c38ce468","male","Hispanic or Latino","Native_PacIsl_MultiRace_NaN_Other",23,"age18_24",3,1.28383266774889
"4","5d89106d1719af0001ee23e5","female","Not Hispanic or Latino","White",47,"age45_49",4,0.31544837656882
"5","5dc5bd296a8a334443fbf216","female","Not Hispanic or Latino","White",48,"age45_49",5,0.31544837656882
"6","5dce29700ad506063969a4a5","female","Not Hispanic or Latino","White",36,"age40_44",6,0.601789764278455
"7","5d6394518df2870001a74b42","female","Not Hispanic or Latino","White",23,"age18_24",7,0.343062228986918
"8","5e784ba802c79b3c2e227bd3","male","Not Hispanic or Latino","Native_PacIsl_MultiRace_NaN_Other",21,"age18_24",8,0.381369105022423
"9","5bdd368719b9ba000157fb12","female","Hispanic or Latino","White",28,"age25_29",9,1.29648619923779
"10","5e4a0a67110b3747ea173d60","male","Not Hispanic or Latino","White",56,"age55_59",10,1.12399177686312
"11","5e605d713d60473af936cc65","male","Not Hispanic or Latino","Asian",26,"age25_29",11,0.356186471826402
"12","574ce0a57fd0ec000db73aa6","female","Not Hispanic or Latino","White",69,"age60_100",12,2.48550036635387
"13","5d75c56a52c89d0017df611c","female","Not Hispanic or Latino","Black",38,"age40_44",13,1.95276288932268
"14","55bb74f1fdf99b1519ef4762","male","Not Hispanic or Latino","White",48,"age45_49",14,0.31544837656882
"15","5a8ce265000dab00018ce084","female","Not Hispanic or Latino","White",50,"age50_54",15,1.05356025295572
"16","5c72efa770d5a200018028f1","male","Not Hispanic or Latino","White",71,"age60_100",16,2.48550036635387
"17","5c30b2a910677f0001dda4c8","female","Not Hispanic or Latino","White",50,"age50_54",17,1.05356025295572
"18","5d506e6d4040a40016bb186a","male","Not Hispanic or Latino","White",74,"age60_100",18,2.48550036635387
"19","57f0d96061e8340001877045","male","Not Hispanic or Latino","White",58,"age55_59",19,1.12399177686312
"20","5db4a409d27e05000f0eaa00","male","Not Hispanic or Latino","White",29,"age25_29",20,0.385127901710281
"21","5dcfc4a09595a10cd3ef3e59","female","Not Hispanic or Latino","Asian",20,"age18_24",21,0.317281932617996
"22","59349d79f1b3f00001964d04","female","Not Hispanic or Latino","White",61,"age60_100",22,2.48550036635387
"23","58d7d2c2e9b6dc000129148a","male","Not Hispanic or Latino","White",24,"age18_24",23,0.343062228986918
"24","5d464c8a4bfe160001692125","female","Not Hispanic or Latino","Native_PacIsl_MultiRace_NaN_Other",23,"age18_24",24,0.381369105022423
"25","5e455faf462e0802d9d9c3e2","male","Hispanic or Latino","White",25,"age25_29",25,1.29648619923779
"26","5aea962d0ef2f20001858c9c","male","Not Hispanic or Latino","White",36,"age40_44",26,0.601789764278455
"27","5e4b793f03c92a08a6d28e3f","male","Not Hispanic or Latino","Asian",21,"age18_24",27,0.317281932617996
"28","5c29b88810677f0001dc2c56","male","Not Hispanic or Latino","White",54,"age50_54",28,1.05356025295572
"29","5dc9a379d210e46baff956fb","male","Hispanic or Latino","Native_PacIsl_MultiRace_NaN_Other",20,"age18_24",29,1.28383266774889
"30","5cc15d5d3f664f001594a8ce","male","Not Hispanic or Latino","White",32,"age30_34",30,0.586007839733555
"31","5e6690ca0ef3a301da87b4d9","female","Not Hispanic or Latino","Asian",26,"age25_29",31,0.356186471826402
"32","59235471e937bd0001ca0245","female","Not Hispanic or Latino","Black",21,"age18_24",32,1.11321133934075
"33","5cbc071f2edc3b00018ab097","male","Not Hispanic or Latino","Asian",36,"age40_44",33,0.556566719699351
"34","5e49fdf1a95b8c46bd19f1eb","female","Not Hispanic or Latino","Black",49,"age45_49",34,1.0236064483404
"35","5c804f4092ad770015846011","female","Not Hispanic or Latino","Asian",55,"age55_59",35,1.03952651465885
"36","55b0eabffdf99b2228330785","female","Not Hispanic or Latino","White",65,"age60_100",36,2.48550036635387
"37","5e2897fd0351e803a40629a5","female","Not Hispanic or Latino","White",24,"age18_24",37,0.343062228986918
"38","5db103ed236ef00013611a6f","female","Not Hispanic or Latino","White",36,"age40_44",38,0.601789764278455
"39","5d52d9233d8e6b001b0dcd7f","female","Not Hispanic or Latino","White",34,"age35_39",39,2.6520132371587
"40","5c1b06d9a329230001ecc39c","male","Not Hispanic or Latino","Native_PacIsl_MultiRace_NaN_Other",25,"age25_29",40,0.428131897901282
"41","5de7d12c26dd95000b6824c5","male","Not Hispanic or Latino","White",44,"age45_49",41,0.31544837656882
"42","5e576e085069e61204a85872","male","Hispanic or Latino","White",19,"age18_24",42,1.15487723269628
